A BREAKFAST OF GREEN EGGS AND HAM,Food And Drink
CRUNCHY BEEF TACOS WITH SALSA & SOUR CREAM,Food And Drink
A STROLL ON THE BEACH AT SUNRISE,Place
AIRPORT LOUNGE,Place
ROOM WITH A VIEW OF THE OCEAN,Place
PRIVATE PATIO WITH AN OCEAN VIEW,Place
THE THIRD PLANET FROM THE SUN,Place
BIG TROUBLE IN LITTLE CHINA,Movie Title
CAPTAIN AMERICA THE FIRST AVENGER,Movie Title
HOW THE GRINCH STOLE CHRISTMAS,Movie Title
MONTY PYTHON AND THE HOLY GRAIL,Movie Title
NAPOLEON DYNAMITE,Movie Title
A TON OF FUN,Rhyme Time
FUN IN THE SUN,Rhyme Time
LOOSE AS A GOOSE,Rhyme Time
PLAY OF THE DAY,Rhyme Time
AN APPLE A DAY KEEPS THE DOCTOR AWAY,Rhyme Time
RAIN RAIN GO AWAY COME AGAIN ANOTHER DAY,Rhyme Time
HEY DIDDLE DIDDLE THE CAT AND THE FIDDLE,Rhyme Time
I SCREAM YOU SCREAM WE ALL SCREAM FOR ICE CREAM,Rhyme Time
A BLESSING IN DISGUISE,Phrase
CUTE AS A BUTTON,Phrase
FITS LIKE A GLOVE,Phrase
JACK OF ALL TRADES,Phrase
LIKE IT OR NOT,Phrase
NO LIFEGUARD ON DUTY,Phrase
NO MINIMUM PURCHASE REQUIRED,Phrase
APPALACHIAN MOUNTAINS,Place
KANSAS CITY KANSAS,Place
KANSAS CITY MISSOURI,Place
MASON CITY IOWA,Place
NORTHEASTERN ILLINOIS,Place
ST PAUL MINNESOTA,Place
